timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
467456291,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
467965108,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
468472123,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
468982135,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
469490200,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
469997172,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
470507070,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
471019698,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
471530736,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
472035171,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
472536190,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
473045062,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
473555248,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
474065090,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
474575100,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
475082070,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
475589378,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
476096238,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
476603066,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
477112069,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
477621112,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
478129679,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
478636160,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
479143071,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
479652070,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
480159853,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
480666064,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
481166098,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
481676087,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
482187131,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
482697070,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
483204122,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
483712068,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
484219151,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
484729193,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
485238068,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
485747297,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
486255113,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
486763072,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
487272277,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
487782072,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
488291218,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
488791412,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
489302064,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
489804064,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
490309072,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
490816113,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
491323227,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
491828105,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
492335496,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
492838062,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
493349320,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
493860196,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
494370201,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
494877198,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
495384080,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
495891596,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
496398286,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
496905136,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
497413453,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
497922266,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
498429063,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
498936394,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
499436529,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
499947066,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
500458069,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
500966597,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
501466744,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
501976697,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
502486076,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
502992304,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
503500445,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
504008129,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
504515431,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
505022550,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
505533686,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
506042689,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
506550589,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
507059225,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
507568214,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
508069086,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
508575076,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
509085063,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
509586065,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
509999077,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
510503689,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
511004258,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
511515109,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
512020205,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
512523609,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
513033075,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
513540170,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
514047063,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
514558073,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
515065170,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
515574480,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
516080340,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
516589063,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
517097066,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
517607072,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
518114317,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
518621069,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
519128318,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
519628628,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
520139090,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
520372077,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
520882063,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
521392181,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
521902161,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
522409062,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
522916153,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
523426444,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
523936105,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
524436225,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
524946165,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
525453064,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
525956222,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
526457071,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
526968065,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
527478105,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
527987164,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
528490483,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
528997071,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
529499473,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
530000384,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
530503070,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
531010209,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
531513065,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
532022069,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
532531137,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
533038222,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
533547341,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
534058070,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
534566814,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
535073142,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
535580265,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
536090344,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
536597092,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
537104071,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
537613065,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
538122072,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
538630528,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
539139180,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
539648064,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
540148085,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
540659200,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
541169191,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
541676353,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
542182074,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
542688093,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
543195066,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
543701064,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
544201175,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
544708167,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
545215097,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
545727954,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
546237431,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
546747848,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
547258112,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
547760247,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
548261546,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
548772066,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
